LatinName,FeastCode,EnglishName,Date
Feria 5 TP,8005000,"Thursdays, Eastertide",
Feria 4 TP,8004000,"Wednesdays, Eastertide",
Feria 3 TP,8003000,"Tuesdays, Eastertide",
Feria 2 TP,8002000,"Mondays, Eastertide",
Dominica TP,8001000,"Sundays, Eastertide",
In tempore Paschae,8000000,"General, Eastertide",
In Triduum,7069000,"General, during the Triduum",
Hebd. Sancta,7068000,Holy Week,
Sabbato Sancto,7067000,Holy Saturday,
Fer. 6 in Parasceve,7066000,Good Friday,
Ad Mandatum,7065010,At the Mandatum (Foot-Washing),
Fer. 5 in Cena Dom.,7065000,Holy Thursday (Maundy Thursday),
Fer. 4 Maj. Hebd.,7064000,"Wednesday, Holy Week",
Fer. 3 Maj. Hebd.,7063000,"Tuesday, Holy Week",
Fer. 2 Maj. Hebd.,7062000,"Monday, Holy Week",
Dom. in Palmis,7061000,Palm Sunday,
Hebd. de Passione,7058000,5th week of Lent,
Sabb. de Passione,7057000,"Saturday, 6th week, Lent",
Fer. 6 de Passione,7056000,"Friday, 5th week, Lent",
Fer. 5 de Passione,7055000,"Thursday, 5th week, Lent",
Fer. 4 de Passione,7054000,"Wednesday, 5th week, Lent",
Fer. 3 de Passione,7053000,"Tuesday, 5th week, Lent",
Fer. 2 de Passione,7052000,"Monday, 5th week, Lent",
Dom. de Passione,7051000,5th Sunday of Lent (Passion Sunday),
Hebd. 4 Quad.,7048000,4th week of Lent,
Sabb. Hebd. 4 Quad.,7047000,"Saturday, 4th week, Lent",
Fer. 6 Hebd. 4 Quad.,7046000,"Friday, 4th week, Lent",
Fer. 5 Hebd. 4 Quad.,7045000,"Thursday, 4th week, Lent",
Fer. 4 Hebd. 4 Quad.,7044000,"Wednesday, 4th week, Lent",
Fer. 3 Hebd. 4 Quad.,7043000,"Tuesday, 4th week, Lent",
Fer. 2 Hebd. 4 Quad.,7042000,"Monday, 4th week, Lent",
Dom. 4 Quadragesimae,7041000,4th Sunday of Lent,
Hebd. 3 Quad.,7038000,3rd week of Lent,
Sabb. Hebd. 3 Quad.,7037000,"Saturday, 3rd week, Lent",
Fer. 6 Hebd. 3 Quad.,7036000,"Friday, 3rd week, Lent",
Fer. 5 Hebd. 3 Quad.,7035000,"Thursday, 3rd week, Lent",
Fer. 4 Hebd. 3 Quad.,7034000,"Wednesday, 3rd week, Lent",
Fer. 3 Hebd. 3 Quad.,7033000,"Tuesday, 3rd week, Lent",
Fer. 2 Hebd. 3 Quad.,7032000,"Monday, 3rd week, Lent",
Dom. 3 Quadragesimae,7031000,3rd Sunday of Lent,
Hebd. 2 Quad.,7028000,2nd week of Lent,
Sabb. Hebd. 2 Quad.,7027000,"Saturday, 2nd week, Lent",
Fer. 6 Hebd. 2 Quad.,7026000,"Friday, 2nd week, Lent",
Fer. 5 Hebd. 2 Quad.,7025000,"Thursday, 2nd week, Lent",
Fer. 4 Hebd. 2 Quad.,7024000,"Wednesday, 2nd week, Lent",
Fer. 3 Hebd. 2 Quad.,7023000,"Tuesday, 2nd week, Lent",
Fer. 2 Hebd. 2 Quad.,7022000,"Monday, 2nd week, Lent",
Dom. 2 Quadragesimae,7021000,2nd Sunday of Lent,
Hebd. 1 Quad.,7018000,1st week of Lent,
Sabb. Hebd. 1 Quad.,7017000,"Saturday, 1st week, Lent",
Fer. 6 Q.T. Quad.,7016009,"Ember Day, Lent (Friday)",
Fer. 6 Hebd. 1 Quad.,7016000,"Friday, 1st week, Lent",
Fer. 5 Hebd. 1 Quad.,7015000,"Thursday, 1st week, Lent",
Fer. 4 Q.T. Quad.,7014009,"Ember Day, Lent (Wednesday)",
Fer. 4 Hebd. 1 Quad.,7014000,"Wednesday, 1st week, Lent",
Fer. 3 Hebd. 1 Quad.,7013000,"Tuesday, 1st week, Lent",
Fer. 2 Hebd. 1 Quad.,7012000,"Monday, 1st week, Lent",
Dom. 1 Quadragesimae,7011000,1st Sunday of Lent,
Sabb. Quadragesimae,7007000,Saturdays in Lent,
Fer. 6 Quadragesimae,7006000,Fridays in Lent,
Fer. 5 Quadragesimae,7005000,Thursdays in Lent,
Fer. 4 Quadragesimae,7004000,Wednesdays in Lent,
Fer. 3 Quadragesimae,7003000,Tuesdays in Lent,
Fer. 2 Quadragesimae,7002000,Mondays in Lent,
Dom. Quadragesimae,7001000,Sundays in Lent,
In tempore Quad.,7000000,"General, in Lent",
Hebd. Quinquagesimae,6038000,Week after Quinquagesima,
Sabbato post Cineres,6037000,Saturday after Ash Wednesday,
Fer. 6 post Cineres,6036000,Friday after Ash Wednesday,
Fer. 5 post Cineres,6035000,Thursday after Ash Wednesday,
Fer. 4 Cinerum,6034000,Ash Wednesday,
Fer. 3 Quinquages.,6033000,Quinquagesima Tuesday,
Fer. 2 Quinquages.,6032000,Quinquagesima Monday,
Dom. Quinquagesimae,6031000,Quinquagesima Sunday,
Hebd. Sexagesimae,6028000,Week after Sexagesima,
Sabb. Sexagesimae,6027000,Sexagesima Saturday,
Fer. 6 Sexagesimae,6026000,Sexagesima Friday,
Fer. 5 Sexagesimae,6025000,Sexagesima Thursday,
Fer. 4 Sexagesimae,6024000,Sexagesima Wednesday,
Fer. 3 Sexagesimae,6023000,Sexagesima Tuesday,
Fer. 2 Sexagesimae,6022000,Sexagesima Monday,
Dom. Sexagesimae,6021000,Sexagesima Sunday,
Hebd. Septuagesimae,6018000,Week after Septuagesima,
Sabb. Septuagesimae,6017000,Septuagesima Saturday,
Fer. 6 Septuagesimae,6016000,Septuagesima Friday,
Fer. 5 Septuagesimae,6015000,Septuagesima Thursday,
Fer. 4 Septuagesimae,6014000,Septuagesima Wednesday,
Fer. 3 Septuagesimae,6013000,Septuagesima Tuesday,
Fer. 2 Septuagesimae,6012000,Septuagesima Monday,
Dom. Septuagesimae,6011000,Septuagesima Sunday,
Dom. 6 p. Epiph.,5061000,6th Sunday after Epiphany,
Fer. 2 Hebd. 5 p.Ep.,5052000,"Monday, 5th week after Epiphany",
Dom. 5 p. Epiph.,5051000,5th Sunday after Epiphany,
Sabb. Hebd. 4 p. Ep.,5047000,"Saturday, 4th week after Epiphany",
Fer. 2 Hebd. 4 p.Ep.,5042000,"Monday, 4th week after Epiphany",
Dom. 4 p. Epiph.,5041000,4th Sunday after Epiphany,
Sabb. Hebd. 3 p. Ep.,5037000,"Saturday, 3rd week after Epiphany",
Fer. 4 Hebd. 3 p.Ep.,5034000,"Wednesday, 3rd week after Epiphany",
Fer. 3 Hebd. 3 p.Ep.,5033000,"Tuesday, 3rd week after Epiphany",
Fer. 2 Hebd. 3 p.Ep.,5032000,"Monday, 3rd week after Epiphany",
Dom. 3 p. Epiph.,5031000,3rd Sunday after Epiphany,
Sabb. Hebd. 2 p. Ep.,5027000,"Saturday, 2nd week after Epiphany",
Fer. 6 Hebd. 2 p.Ep.,5026000,"Friday, 2nd week after Epiphany",
Fer. 5 Hebd. 2 p.Ep.,5025000,"Thursday, 2nd week after Epiphany",
Fer. 4 Hebd. 2 p.Ep.,5024000,"Wednesday, 2nd week after Epiphany",
Fer. 3 Hebd. 2 p.Ep.,5023000,"Tuesday, 2nd week after Epiphany",
Fer. 2 Hebd. 2 p.Ep.,5022000,"Monday, 2nd week after Epiphany",
"Dom. 2 p. Epiph.,8",5021008,In 3rd week after Epiphany,
Dom. 2 p. Epiph.,5021000,2nd Sunday after Epiphany,
"Dom. 1 p. Epiph.,8",5011008,In 2nd week after Epiphany,
Dom. 1 p. Epiph.,5011000,1st Sunday after Epiphany (also Dom. Infra Oct. Epiph.),
Sabb. p. Epiphaniam,5007000,Saturday after Epiphany,
Fer. 6 p. Epiphaniam,5006000,"Friday, week after Epiphany",
Fer. 5 p. Epiphaniam,5005000,"Thursday, week after Epiphany",
Fer. 4 p. Epiphaniam,5004000,"Wednesday, week after Epiphany",
Fer. 3 p. Epiphaniam,5003000,"Tuesday, week after Epiphany",
Fer. 2 p. Epiphaniam,5002000,"Monday, week after Epiphany",
Dom. p. Epiphaniam,5001000,Sundays after Epiphany,
In tempore Epiph.,5000000,"General, after Epiphany",
Hebd. per annum,4008000,"Weekdays, Ferial Office",
Sabbato per annum,4007000,"Saturdays, Ferial Office",
Feria 6 per annum,4006000,"Fridays, Ferial Office",
Feria 5 per annum,4005000,"Thursdays, Ferial Office",
Feria 4 per annum,4004000,"Wednesdays, Ferial Office",
Feria 3 per annum,4003000,"Tuesdays, Ferial Office",
Feria 2 per annum,4002000,"Mondays, Ferial Office",
Dom. per annum,4001000,"Sundays, Ferial Office",
Fest. per annum,4000000,For unspecified feasts throughout the year,
Dom. p. Oct. Nat.,3031000,Sunday after Octave of Christmas,
Sabb. p. Nat. Dom.,3027000,Saturday after Christmas,
Fer. 6 p. Nat. Dom.,3026000,"Friday, week after Christmas",
Fer. 5 p. Nat. Dom.,3025000,"Thursday, week after Christmas",
Fer. 4 p. Nat. Dom.,3024000,"Wednesday, week after Christmas",
Fer. 3 p. Nat. Dom.,3023000,"Tuesday, week after Christmas",
Fer. 2 p. Nat. Dom.,3022000,"Monday, week after Christmas",
Dom. p. Nat. Dom.,3021000,Sunday after Christmas,
In tempore Nat.,3000000,"General, in Christmastide",
Die 7 p. Nat. Domini,2123100,6th day after Christmas,Dec.31
Die 6 p. Nat. Domini,2123000,5th day after Christmas,Dec.30
Die 5 p. Nat. Domini,2122900,4th day after Christmas,Dec.29
"Nat. Innocentium,8",2122808,In week after Holy Innocents,
Nat. Innocentium,2122800,Holy Innocents,Dec.28
"Joannis Evang.,8",2122708,In week after John the Evangelist,
Joannis Evang.,2122700,John the Evangelist,Dec.27
"Stephani,8",2122608,In week after Stephen,
Stephani,2122600,Stephen the First Martyr,Dec.26
"Nativitas Domini,8",2122508,In week after Christmas,
Nativitas Domini,2122500,Christmas Day,Dec.25
Vigilia Nat. Domini,2122400,Christmas Eve,Dec.24
Die 3 a. Nat. Domini,2122300,The third day before Christmas,Dec.23
Die 5 a. Nat. Domini,2122100,The fifth day before Christmas,Dec.21
Octava Epiphaniae,2011300,Octave of Epiphany,Jan.13
Die 7 p. Epiphaniam,2011200,6th day after Epiphany,Jan.12
Die 6 p. Epiphaniam,2011100,5th day after Epiphany,Jan.11
Die 5 p. Epiphaniam,2011000,4th day after Epiphany,Jan.10
Die 4 p. Epiphaniam,2010900,3rd day after Epiphany,Jan.9
Die 3 p. Epiphaniam,2010800,2nd day after Epiphany,Jan.8
Die 2 p. Epiphaniam,2010700,1st day after Epiphany,Jan.7
"Epiphania,8",2010608,In week after Epiphany,
Epiphania,2010600,Epiphany,Jan.6
Vigilia Epiphaniae,2010500,Eve of Epiphany,Jan.5
Oct. Nat. Innocent.,2010400,Octave of Holy Innocents,Jan.4
Oct. Joannis Evang.,2010300,Octave of John the Evangelist,Jan.3
Octava Stephani,2010200,Octave of Stephen,Jan.2
"Octava Nat. Domini,8",2010108,In week after Octave of Christmas,
Octava Nat. Domini,2010100,Octave of Christmas (Circumcision),Jan.1
Hebd. Nat. Dom.,2008000,Weekdays in Christmastide,
Antiphonae Majores,1048010,Great 'O' Antiphons,
Hebd. 4 Adventus,1048000,4th week of Advent,
Sabbato Hebd. 4 Adv.,1047000,"Saturday, 4th week, Advent",
Fer. 6 Hebd. 4 Adv.,1046000,"Friday, 4th week, Advent",
Fer. 5 Hebd. 4 Adv.,1045000,"Thursday, 4th week, Advent",
Fer. 4 Hebd. 4 Adv.,1044000,"Wednesday, 4th week, Advent",
Fer. 3 Hebd. 4 Adv.,1043000,"Tuesday, 4th week, Advent",
Fer. 2 Hebd. 4 Adv.,1042000,"Monday, 4th week, Advent",
Dom. 4 Adventus,1041000,4th Sunday of Advent,
Hebd. 3 Adventus,1038000,3rd week of Advent,
Sabb. Q.T. Adventus,1037009,"Ember Day, Advent (Saturday)",
Sabbato Hebd. 3 Adv.,1037000,"Saturday, 3rd week, Advent",
Fer. 6 Q.T. Adventus,1036009,"Ember Day, Advent (Friday)",
Fer. 6 Hebd. 3 Adv.,1036000,"Friday, 3rd week, Advent",
Fer. 5 Q.T. Adventus,1035009,"Ember Day, Advent (Thursday)",
Fer. 5 Hebd. 3 Adv.,1035000,"Thursday, 3rd week, Advent",
Fer. 4 Q.T. Adventus,1034009,"Ember Day, Advent (Wednesday)",
Fer. 4 Hebd. 3 Adv.,1034000,"Wednesday, 3rd week, Advent",
Fer. 3 Hebd. 3 Adv.,1033000,"Tuesday, 3rd week, Advent",
Fer. 2 Hebd. 3 Adv.,1032000,"Monday, 3rd week, Advent",
Dom. 3 Adventus,1031000,3rd Sunday of Advent,
Q.T. Adventus,1030009,"Ember Days, Advent",
Hebd. 2 Adventus,1028000,2nd week of Advent,
Sabbato Hebd. 2 Adv.,1027000,"Saturday, 2nd week, Advent",
Fer. 6 Hebd. 2 Adv.,1026000,"Friday, 2nd week, Advent",
Fer. 5 Hebd. 2 Adv.,1025000,"Thursday, 2nd week, Advent",
Fer. 4 Hebd. 2 Adv.,1024000,"Wednesday, 2nd week, Advent",
Fer. 3 Hebd. 2 Adv.,1023000,"Tuesday, 2nd week, Advent",
Fer. 2 Hebd. 2 Adv.,1022000,"Monday, 2nd week, Advent",
Dom. 2 Adventus,1021000,2nd Sunday of Advent,
Hebd. 1 Adventus,1018000,1st week of Advent,
Sabbato Hebd. 1 Adv.,1017000,"Saturday, 1st week, Advent",
Fer. 6 Hebd. 1 Adv.,1016000,"Friday, 1st week, Advent",
Fer. 5 Hebd. 1 Adv.,1015000,"Thursday, 1st week, Advent",
Fer. 4 Hebd. 1 Adv.,1014000,"Wednesday, 1st week, Advent",
Fer. 3 Hebd. 1 Adv.,1013000,"Tuesday, 1st week, Advent",
Fer. 2 Hebd. 1 Adv.,1012000,"Monday, 1st week, Advent",
Dom. 1 Adventus,1011000,1st Sunday of Advent,
Hebd. Adventus,1008000,Weekdays in Advent,
Sabb. Adventus,1007000,Saturdays in Advent,
Fer. 4 Adventus,1004000,Wednesdays in Advent,
Fer. 3 Adventus,1003000,Tuesdays in Advent,
Fer. 2 Adventus,1002000,Mondays in Advent,
Dom. Adventus,1001000,Sundays in Advent,
In tempore Adventus,1000000,"General, in Advent",
PALIMPSEST,0,Indicates a palimpsest Office in MS,
LACUNA,0,Indicates missing page(s) in MS,
